148,0,-20,148,0,-45,148,0,-20,148,0,-45,148,0,-20,148,0,-55
148,25,-55,148,0,-45,148,25,-45,148,0,-45,148,25,-45,148,0,-55
148,25,-55,148,0,-20,148,25,-45,148,0,-20,148,25,-45,148,0,-20
148,0,-55,148,0,-20,148,0,-45,148,0,-20,148,0,-45,148,0,-20
148,-25,-55,148,0,-20,148,-25,-45,148,0,-20,148,-25,-45,148,0,-20
148,-25,-55,148,25,-45,148,-25,-45,148,25,-45,148,-25,-45,148,25,-55
148,0,-20,148,25,-45,148,0,-20,148,25,-45,148,0,-20,148,25,-55
148,0,-20,148,0,-45,148,0,-20,148,0,-45,148,0,-20,148,0,-55
148,0,-20,148,-25,-45,148,0,-20,148,-25,-45,148,0,-20,148,-25,-55
148,25,-55,148,-25,-45,148,25,-45,148,-25,-45,148,25,-45,148,-25,-55
